,comp_name,job_addr,job_link,job_posted,job_srch,job_title
8529,Old Chicago Pizza | CraftWorks Restaurants & Brewe...,"Thornton, CO 80233",http://www.indeed.com/rc/clk?jk=2120338e778a1743&fccid=006ad97c01e79dc1&vjs=3,2018-03-31 00:00:00,General Labor,Prep Cook
8531,On The Border Mexican Grill and Cantina,"Highlands Ranch, CO 80130",http://www.indeed.com/rc/clk?jk=55ba6dd68e755861&fccid=228b155bc98a1579&vjs=3,2018-03-31 00:00:00,General Labor,Restaurant Cook
8532,Cargill,"Fort Morgan, CO",http://www.indeed.com/rc/clk?jk=6bc8cc2c03698235&fccid=d7d9a8241ba2f3ec&vjs=3,2018-04-01 00:00:00,General Labor,"General ProductionFull TimeFort Morgan, Colorado"
8533,Daylight Donut Urban Eatery,"Thornton, CO",http://www.indeed.com/company/Daylight-Donuts-Urban-Eatery-restaurant/jobs/Prep-Cook-Line-Cook-4da62b0f1959713a?fccid=e320b06dca5866be&vjs=3,2018-04-01 00:00:00,General Labor,Prep Cook/Line Cook
8543,Simple Eatery,"Buena Vista, CO",http://www.indeed.com/rc/clk?jk=a8d3f6f033cf9036&fccid=a4c47b5a56b6f8e3&vjs=3,2018-04-02 00:00:00,General Labor,Head Chef/Kitchen Manager
8549,Burger King | Pueblo Management,"Pueblo, CO 81008",http://www.indeed.com/rc/clk?jk=c1e0fe3fb959aaff&fccid=a35c296654c75015&vjs=3,2018-04-01 00:00:00,General Labor,Crew Member
8552,"AA Striping, Inc","Colorado Springs, CO 80910 (Southeast Colorado Springs area)","http://www.indeed.com/company/AA-Striping,-Inc/jobs/Paint-Truck-Operator-Road-Division-1bbf848560a329b2?fccid=32276d9597092769&vjs=3",2018-03-19 00:00:00,General Labor,Paint Truck Operator – Road Division
8557,The Resource Exchange,"Colorado Springs, CO",http://www.indeed.com/rc/clk?jk=9e2f85de8095c2a1&fccid=0b4cb9f0e72546d8&vjs=3,2018-03-16 00:00:00,General Labor,Quality Improvement Coordinator
8558,"ATI Insulation, Inc.","Colorado Springs, CO","http://www.indeed.com/company/ATI-Insulation,-Inc./jobs/Industrial-Insulator-3492ae94057e80a2?fccid=07cb91dc71beac41&vjs=3",2018-03-15 00:00:00,General Labor,"Industrial Insulator / Scaffold Builders (Brighton, CO.)"
8559,Main Event Entertainment,"Highlands Ranch, CO",http://www.indeed.com/company/Main-Event-Entertainment/jobs/Restaurant-Operation-Manager-897595a65c9a6627?fccid=231c2dfdebff5a70&vjs=3,2018-03-21 00:00:00,General Labor,Restaurant Operations Manager
8560,Colorado Department of Transportation,"Denver, CO 80222 (Southeastern Denver area)",http://www.indeed.com/rc/clk?jk=38fb0ef8e3efbca3&fccid=179909af3a4b3929&vjs=3,2018-03-16 00:00:00,General Labor,Analyst VPreConstruction and Construction Engineering Applications Manager
8561,Nestle USA,"Denver, CO",http://www.indeed.com/rc/clk?jk=3ce5da9cc4a4e887&fccid=bb384ca0a6d3d491&vjs=3,2018-03-14 00:00:00,General Labor,"Warehouse I- Full Time 4 HR/WK- Denver, Co"
8562,City of Fort Collins,"Fort Collins, CO",http://www.indeed.com/rc/clk?jk=e8bc0fc42655a9e0&fccid=e4c34aea03802fb4&vjs=3,2018-03-13 00:00:00,General Labor,UTILITY WORKER/WATER
8563,Triton North Central,"Cheyenne, WY",http://www.indeed.com/company/Triton-North-Central/jobs/General-Labor-Assembler-36dde86f8b6b6f15?fccid=d37e4e15d1648185&vjs=3,2018-03-12 00:00:00,General Labor,General Labor/Assembler
8564,Advance Auto Parts Distribution Ctr.,"Denver, CO",http://www.indeed.com/company/Advance-Auto-Parts-Distribution-Ctr./jobs/General-Warehouse-Worker-533be2eee8abc70a?fccid=f45520bb0b7edd80&vjs=3,2018-03-09 00:00:00,General Labor,General Warehouse Worker
8565,Villalobos Concrete,"Denver, CO",http://www.indeed.com/rc/clk?jk=7c1a288556974bb9&fccid=b5f52b1522b2df84&vjs=3,2018-03-11 00:00:00,General Labor,Help Wanted
8566,Rep Fitness,"Denver, CO",http://www.indeed.com/company/Rep-Fitness/jobs/Warehouse-Associate-95ed1815d569833e?fccid=86f067fd9052fb51&vjs=3,2018-03-14 00:00:00,General Labor,Warehouse Associate
8567,Select Energy Services,"Greeley, CO",http://www.indeed.com/rc/clk?jk=8741aef975a365e2&fccid=ba1ea73324635e9d&vjs=3,2018-03-13 00:00:00,General Labor,Laborer
