comp_name,job_addr,job_link,job_posted,job_srch,job_title
Build Colorado,[Avon],http://jobs.ourcareerpages.com/job/329217?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,null,Construction,[HVAC Service Technician - Western Slope - ]
Build Colorado,[Glenwood Springs],http://jobs.ourcareerpages.com/job/328949?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,null,Construction,[Project Estimator - ]
Build Colorado,[Avon],http://jobs.ourcareerpages.com/job/326421?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,null,Construction,[Project Coordinator / Administrative Assistant - ]
Build Colorado,[Westminster],http://jobs.ourcareerpages.com/job/325413?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,null,Construction,[Site Safety Coordinator - ]
Build Colorado,[Denver],http://jobs.ourcareerpages.com/job/325047?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,null,Construction,[CDL Driver/Equipment Operator - ]
Build Colorado,[Brighton],http://jobs.ourcareerpages.com/job/322655?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,null,Construction,[Skilled Laborers (IMMEDIATE HIRE) - ]
Build Colorado,[Englewood],http://jobs.ourcareerpages.com/job/322477?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,null,Construction,"[Project Engineer (Basin, Wyoming) - ]"
Build Colorado,[Englewood],http://jobs.ourcareerpages.com/job/318971?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,null,Construction,[Superintendent - ]
Build Colorado,[Denver],http://jobs.ourcareerpages.com/job/313658?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,null,Construction,[Sheet Metal Shop Journeyman - ]
Build Colorado,[Englewood],http://jobs.ourcareerpages.com/job/313634?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,null,Construction,[CDL Class A Drivers - ]
